oare_id,transliteration,translation
KUG 27,a-na A-šur-SI<PA> a-pu-ull,"0.33333 mina of silver, the price of a donkey, I paid to Uṣur-ša-Aššur."
KUG 27,0.33333 ma-na KÙ.BABBAR ší-im ANŠE a-na Ú-ṣú-ur-ša-A-šur áš-qúl 5 ma-na hu-ša-e i-ša-am-ši tù-uṣ-ṣú ta-al-qé KÙ.BABBAR-áp- šu-nu,The day you left you took 5 minas of scrap metal worth 4 shekels of silver.
KUG 27,4 GÍN 0.5 GÍN 15 ŠE wa-ši- tum ta-aš-pu-ra-ma ú-ši-ib,"The export duty was 0.5 shekel 15 grains; you wrote me about it, and I added it."
KUG 27,5 0.5 ma-na KÙ.BABBAR ša še-ep En<-nam>-A-šur 3 GÍN KÙ.BABBAR i-sá-nu-qí-im im-tí-ma am-ší-ma i-ni-ka-ši lá aš-ku-na-kum,"As to the 5 0.5 minas of silver carried by Ennam-Aššur, 3 shekels were found to be missing during the check, but I forgot to charge it to you at the accounting."
KUG 27,2 UDU ša DUMU Pi-da-a 5 0.5 ma-na 1 UDU 1 0.83333 ma-na ša I-dí-lim 1 UDU 3 ma-na 1 UDU 2 0.33333 ma-na 5 GÍN 1 UDU 2 ma-na 10 GÍN ša A-šur-SIPA 1 UDU 2 0.33333 ma-na ša Zu-a 1 UDU 2 0.66666 ma-na ša Du-ni-a 1 UDU 3 0.33333 ma-na DUMU Du-ni-a-ma GAL,"2 sheep belonging to Pidayas son: 5 0.5 mina; 1 sheep worth 1 0.83333 mina belonging to Iddin-ilum; 1 sheep: 3 minas, 1 sheep 2 0.33333 minas 5 shekels; 1 sheep: 2 minas 10 shekels— belonging to Aššur-rēʾi; 1 sheep worth 2 0.33333 minas belonging to Zua; 1 sheep worth 2 0.66666 minas belonging to Dunnia; 1 sheep worth 3 0.33333 minas—the same Dunnias eldest son."
KUG 27,1 TÚG 8 0.66666 ma-na ša A-šur-DÙG ta-am-ši-ma,"You forgot 1 textile worth 8 0.66666 minas belonging to Aššur-ṭāb, so I paid."
KUG 27,áš-qúl ŠUNIGIN URUDU 32 ma-na LÁ 5 GÍN KÙ.BABBAR-áp-šu-nu 0.33333 ma<-na> LÁ 0.83333 GÍN a-ší-im TÚG-tim ù UDU.HI.A ša ta-am-ši-ú áš-qúl,"The total in copper: 32 minas less 5 shekels, in silver: 0.33333 mina less 0.83333 shekels, I have paid as the price of the textile and the sheep which you forgot about."
KUG 27,1+ <gap> GÍN iš-tù ša-du-a-at KÙ.BABBAR-pì-kà ša šé-ep Be-lí-a-lim ù DUMU ku-um-ri-im,I paid as compensation 1[+ <gap> ] shekels after the transport tariff on your silver transported by Bēlī-alum and the son of the priest.
KUG 27,a-pu-ul 3 LÁ 0.25 GÍN KÙ.BABBAR iš-tù ša-du-ú-tum gám-ra-at-ni a-na Ištar-pí-lá-ah ù DUMU Ir-nu-id a-pu-ul,After the transport tariff had been spent I paid as compensation 3 less 0.25 shekels of silver to Ištar-pilah and Irnuids son.
KUG 27,1 ma-na KÙ.BABBAR a-ši-im 2 GUD.HI.A ù ú-tí-tim a-na me-er-e ša-ku-li-im ag-mu-ur ší-tí KÙ.BABBAR-pì-kà 2 ma-na 0.66666 GÍN i-na li-bi4 5 ma-na 1 GÍN KÙ.BABBAR lu-qú-tim ša še-ep En-nam-Be-lim ú-ša-he-er ší-tí KÙ.BABBAR-pì-a 2 ma-na 0.33333 GÍN i-na pá-ni-e-ma,"1 mina of silver I spent on the price of 2 oxen and grain to feed the sons. The rest of your silver: 2 minas 0.66666 shekels, I deducted from the 5 minas 1 shekel of silver, the shipment transported by Ennam-Bēlum; send the rest of my silver, 2 minas 0.33333 shekels as soon as possible."
KUG 27,šé-bi4-lam li-ba-ka lá tu-lá-ma-an a-na a-wi-li ah-ša-ah-ma al-qé,"Do not be angry. I wanted it for the men, so I took it."
KUG 48,um-ma A-šur-i-dí-ma a-na A-šur-na-da qí-bi4-ma: a-šu-mi I-dí-Sú-in ša ta-áš-pu-ra-ni I-dí-Sú-in aš-ba-at-ma i-ma-ha-ar a-hi-ni um-ma a-na-ku- ma KÙ.BABBAR i-na ba-a-ba-tí-a ta-al-ta-qé KÙ.BABBAR-pì dí-nam um-ma šu-ut-ma,"From Aššur-idī to Aššur-nāda: Concerning Iddin-Suen about whom you wrote, I seized Iddin-Suen and in the presence of our colleagues I said: You have taken silver from my outstanding claims!"
KUG 48,mi-ma KÙ.BABBAR-áp-kà lá al-qé ú ni-kà-si ú-ni-a-ni-ma KÙ.BABBAR,Give me my silver! He answered: I have not taken any of your silver.
KUG 48,1 ma-na ù 2 ma-na i-ṣé-ri-a il5-qé AN.NA 1 GÚ KI Ša-lim-a- hi-im a-na u4-me ni-il5-qé-ma a-na Bu-ru-uš-ha-dim ú-šé-ri-ib-ma ih-ta-al-qé-ni a-wa-at A-limki lá tí-de8 a-na-kam a-ba-ú-šu im-tí-du-ma a-hi-ni nu-šé-ši-ib-ma a-šu-mi KÙ.BABBAR a-na-kam ra-kà-si< -im> ni-iš A-limki ú-ta-me-ú-ni-a-tí-ma a-na 6 ma-na KÙ.BABBAR ú-ma-gi5-ru-ni- a-tí iš-tù ITI.1.KAM Tán-bar-ta li-mu- um Ib-ni-dIM DUMU Ba-qú-ni-im 1 ma-na.TA i-na ša-tim KÙ.BABBAR ša-al-ma-am i-na A-limki,"So, he cheated me with the account, for he has taken at least 1 or 2 minas of silver at my expense. We have borrowed tin, 1 talent, from Šalim-ahum on fixed terms, and he brought that into Burušhaddum where it was lost for me. Dont you know the state of affairs in the City? Here his fathers have become numerous, so we convened our colleagues, and they made us swear an oath by the City concerning the contractual agreement to pay the silver here , where they made us agree on 6 minas of silver: Reckoned from the month Tanbarta in the eponymy of Ibni-Adad son of Baqqunum he is to pay 1 mina per year without deduction to you in the City."
KUG 48,i-ša-qá-lá-kum ša KÙ.BABBAR 1 ma-na ù 2 ma-na ši-ma-am na-ší,He carries goods worth at least 1 or 2 minas of silver.
KUG 48,a-ma-kam ṣa-ba-sú-ma ki-ma a-wi-lu- tí-kà,Seize him there and act as a gentleman.
KUG 48,e-pu-uš a-pu-tum ra-ma-kà za-ki-a-ma i-na ha-ar-pè iš-tí A-šur-ma-lik,"Please, free yourself of claims, set out and come at harvest time together with Aššur-malik."
KUG 48,a-li-ki-im ṭur4-dam,
Pa. 14 (L 29-568),um-ma A-šùr-i-dí-ma a-na A-šùr-na-da qí-bi4-ma a-šù-mi KÙ.BABBAR ša Kà-ri-a ù ku-a-tí: ša tù-šé-bi-lá-ni um-ma ša ki-ma Kàr-ri-a-ma lu-qí-tám a-na i-ta-aṭ-li-im,"From Aššur-idī to Aššur-nādā: With regard to the silver belonging to Karria and yourself which you sent to me, Karrias representatives said: Let him sell the goods for cash on delivery, and send the silver here!"
Pa. 14 (L 29-568),li-dí-in-ma KÙ.BABBAR,He must not release it .
Pa. 14 (L 29-568),lu-šé-bi-lam la ú-wa-šar a-pu-tum a-na i-ta-aṭ-li-im lu-qí-tám dì-in-ma,"Please, sell the goods for cash on delivery and send me his half of the silver raised."
Pa. 14 (L 29-568),mi-iš-li-šu KÙ.BABBAR šé-bi-lam,Do not listen to anything else!
Pa. 14 (L 29-568),ú-za-kà: la i-ba-ši KÙ.BABBAR-ap a-we-lim a-na na-ru-qí-im,Do not use the mans silver as a joint-stock investment.
Pa. 14 (L 29-568),mi-ma: la ta-na-ši ù šu-ma: i-qí-šu-ni,Even if they are ready to give it as a gift you must not take any!
Pa. 14 (L 29-568),mi-ma: la ta-lá-qé šu-ma Kà-ri-a i-na KÙ.BABBAR a-tí-im me-ra-šu: i-na ša-ha-tí-kà li-zi-iz-ma ṭup-pá-am ša ši-a-ma-tim ší-ta-me-a-ma: ší-ma-am dí-na-ma KÙ.BABBAR mi-iš-li-šu,"If Karria has invested in the silver, then let his son assist you, and listen carefully to the letter concerning the purchases, sell the consignment and place his half of the silver under seal, and send it here."
Pa. 14 (L 29-568),ku-un-kà-ma šé-bi-lá-nim ki-ma ú-ra-am a-na ma-mi-tim la i-sa-bu-tù-kà-ni KÙ.BABBAR i-na šé-bu-lim,In order that they cannot seize you tomorrow to make you swear an oath you must have witnesses when the silver is sent.
Pa. 14 (L 29-568),ší-bi šu-ku-un šu-ma um-ma me-ra-šu-ma,If his son says: Give me the goods!
Pa. 14 (L 29-568),lu-qí-tám: dí-nam a-na a-wa-at É a-bi-a ma-aš-a-ku: ma-a,"I shall be responsible for the affairs of my fathers house! — why, then he deprived you with words."
Pa. 14 (L 29-568),i-na a-wa-tim ip-tù-a-kà um-ma a-ta-ma ma-lá i-na É a-bi-kà i-še-ri-a i-lá-qé-ú-ni,"You should answer: Whatever they will take at my expense in your fathers house, I shall take at your expense!"
Pa. 14 (L 29-568),i-na šé-ri-kà a-lá-qé: ṭup-pá-kà ù ší-bé-kà,See to it that your tablet and your witnesses are in order! Release the goods.
Pa. 39 (L 29-602),um-ma A-šur-i-dí-ma a-na A-šur-na-da qí-bi4-ma 5 GÍN KÙ.BABBAR i-na e-ra-bi4-šu-ma Ás-qú-dí-a ša-áṣ-qí-il5-ma iš-tí ší-im ANŠE ku-nu-uk-ma i-pá-ni-e-ma,"From Aššur-idī to Aššur-nāda: Make Asqudia pay 5 shekels of silver as soon as he arrives, seal that together with the money from the sale of the donkey, and send it as soon as possible."
Pa. 39 (L 29-602),šé-bi4-lam 1 TÚG ku-ta-nu-um i-ṭù-pì-a lá lá-pì-it ša A-šur-ta-ak- lá-ku Ás-qú-dí-a-ma na-aš-a- kum,1 kutānu-textile was not noted in my letter; it belongs to Aššur-taklāku; Asqudia is on his way to you with that as well.
RC 1749 B,8 TÚG a-ni-ú-tim ù 15 TÚG.HI.A ša En-nam-Be-lúm ub-lá-ku-nu-tí-ni ŠUNIGIN 23 TÚG.HI.A a-ni-ú-tim a-na ni-kà-sí-a a-na É kà-ri-im i-ta-dí-a,These 8 textiles plus 15 textiles which Ennam-Bēlum has brought to you— in all: these 23 textiles— you must deposit on my account in the colony office.
RC 1749 B,šu-uq-lá a-wa-at A-lim da-na-at,The order of the City is strict!
RC 1749 B,a-pu-tum ih-da-ma KÙ.BABBAR šu-uq-lá,"Please, take care to pay the silver!"
"TC 3, 93",um-ma A-šur-i-dí-ma a-na A-šur-na-da qí-bi4-ma ta-li-kam-ma: a-dí 5-ši-šu,From Aššur-idī to Aššur-nāda: After you came here you have broken your promises five or six times!
"TC 3, 93",ù šé-ši-šu: tù-pá-šé-er ù kà-ki: ša A-šur ù A-šu-ri-tim im-hu-šú- kà ù tù-pá-šé-er um-ma a-ta-ma i-na šé-ri-šu li-mu-ru ša a-wa-at: i-lí,"But though the weapons of divine Aššur and Aššuritum have hit you, you still broke your word, saying: Let them care about him who treats the words of the gods as those of mankind."
"TC 3, 93",a-na ša ta-ni-iš-tim,So far you have not left.
"TC 3, 93",i-ša-ku-nu: a-di-ni lá tù- ší šú-hu-ur-kà: a-na,Your children have been chased into destitution!
"TC 3, 93",ú-ri-im: kà-šu-ud du-lá-kà: i-a-tí ta-áṣ-hu-ut-ma: ù i-na,"You bother me with your own sorrows, while I suffer out of pity for the children!"
"TC 3, 93",ri-im: šú-uh-ri-ma a-zu-áb: A-šur ù A-šu-ri- tum uš-ta-na-ú-du-kà um-ma šu-nu-ma lá-am-na- tim i-na li-bi4-šu e-ta-wu li-bu-šu lá iš-ru-ni-ku-um,"Aššur and Aššuritum are giving you urgent instructions with the words: He speaks wickedness in his heart, his thoughts are not friendly towards you, his hand is turned away."
"TC 3, 93",qá-šu na-ba-al-ku-ta-at kà-lá a-wa-tim ša i-lí e-ta-wu-ni-ku-um a-wa-tim ša be-tí-ni: a-dí a-šu-ri-ma ta-am-tí-ši um-ma DINGIR-lu-ma,"All those words of the gods they spoke to you, words about our family, heaven forbid that you should have forgotten them! The gods said: He has refused to obey our commands!"
"TC 3, 93",a-wa-ti-ni ú-lá im-tù-a a-pu-tum a-wa-at,"Please, obey the commands of the gods!"
"TC 3, 93",i-lí: ú-šú-ur šu-ma lá ta-šú-ur,"If you do not obey them, you are lost."
"TC 3, 93",ta-ah-li-iq i-na pá-ni-tim,"At first my anger was great, and you know it well!"
"TC 3, 93",lu-mu-un li-bi4-a ma-ad ù li-ba-kà i-de8: um-ma a-na-ku-ma ù-um-šu-ma šà-he-er,But I said : Until now he has delayed but he must have heard the words of the gods.
"TC 3, 93",ù a-wa-at i-lí iš-té-me li-ba-kà,He cannot have made you angry.
"TC 3, 95",um-ma A-šur-i-dí-ma a-na Puzur-Ištar ù Ás-qú-dim qí-bi4-ma 1 GÚ.5 ma-na AN.NA ku-nu-ki ša Ás-qú-dum na-aš-ú a-na-ma Tí-me-el-ki-a ta-kà-ša-dá- ni um-ma a-tù-nu-ma a-na Šu-Ištar DUMU A-zu-da qí-bi4-a-ma tí-ir-tí A-šur-i-dí AN.NA 1 GÚ le-qé-ma gi-mì-lam i-na še-ri-šu šu-ku-un,"From Aššur-idī to Puzur-Ištar and Asqudum: As to the 1 talent 5 minas of tin under seal which Asqudum is bringing, as soon as you reach Timelkia you must say as follows to Šu-Ištar, the son of Azuda: Aššur-idis orders were that you should take at least 1 talent of tin to do him a favour."
"TC 3, 95",tup-pu-šu ha-ar-ma-am ša hu-bu-li-šu lu-up-ta a-na 25,Draw up a certified tablet concerning his debt to run for 25 weeks.
"TC 3, 95",ha-am-ša-tim šu-ma lá i-ma-ga-ar-ku-nu a-na 30 lu 35 ha-am-ša- tim,"If he does not agree with you, then draw it up for 30 or 35 weeks."
"TC 3, 95",lu-up-ta tup-pu-šu hi-ir-ma-ma a-na A-šur-na- da,Certify his tablet and entrust it to Aššur-nāda.
"TC 3, 95",pi-iq-da ù TÚG.HI.A ma-lá ta-le-e-a-ni,"Also, make him take as many textiles as an investment as you can."
"TC 3, 95",at-ma-šum ší-tí TÚG.HI.A a-na še-er A-šur-na-da,Bring the rest of the textiles to Aššur-nāda.
"TC 3, 95",bi4-il5 šu-ma a-hu-a-a a-tù-nu ih-da-ma gi-mì-lam i-še-ri-a šu-uk-na a-na,"If you are truly my brothers, take care and do me this favour."
"TC 3, 95",Ás-qú-dim qí-bi4-ma šu-ma Puzur-Ištar a-ta-ma dì-šum ši-be 3 šu-ku-šu-um,"To Asqudum: If Puzur-Ištar is absent, then hand it over personally to him. Set 3 witnesses for him."
letter57_KTS1_13b,um-ma A-šùr-na-da- ma a-na I-dí-Šú-in ù Ší-ša-ah-<šú->ša-ar qí-bi4-ma 17 GÍN KÙ.BABBAR ṣa-ru-pá-am ší-im a-bar-ni-im Ku-zu-zi-a iš-tù 10 ša-na-tim ha-bu-lam,"From Aššur-nādā to Iddin-Suen and Šišahšušar: Kuzuziya has owed me 17 shekels of refined silver, the price of an abarniu-textile, for 10 years."
letter57_KTS1_13b,mi-šu ša am-tum ta-li-ku-ma ú-qá- li-lu-šu,"How come that when the maid went, he insulted her?"
letter57_KTS1_13b,né-ma-al KÙ.BABBAR-pi-a ša iš-tù 10 ša-na-tim i-be-e-lu KÙ.BABBAR ša-áš-qí- il-šú-ma a-na a-am-tim,"The profit accrued on my silver, over which he has disposed for 10 years, make him pay that silver, and give it to the maid."
letter57_KTS1_13b,dí-in šu-ma mì-ma i-qá-bi4 šú-ga-ri- a-am ša A-šùr li-it-ma-ma ú li-it-ba-al- šú,"If he protests in any way, then let him swear by divine Aššurs šugariaum and only after that can he take it away."
